target_ref	resize_status	stage	total_drc	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	short
NOR2X4_HVT	ok	before	20	0	0	0	0	19	1
NOR2X4_HVT	ok	after	43	19	4	9	0	17	8
