net	object_type	full_name	via_master	bbox	lower_layer	upper_layer
VDD	via	VIA_SA_15040		{239.5250 845.9130} {240.4750 846.0230}	M1	M2
VDD	via	VIA_S_153138		{219.9450 845.8880} {220.0550 846.0480}	M1	M2
VDD	via	VIA_SA_15039		{199.5250 845.9130} {200.4750 846.0230}	M1	M2
VDD	via	VIA_S_153137		{179.9450 845.8880} {180.0550 846.0480}	M1	M2
VDD	via	VIA_SA_15038		{159.5250 845.9130} {160.4750 846.0230}	M1	M2
VDD	via	VIA_S_153136		{139.9450 845.8880} {140.0550 846.0480}	M1	M2
VDD	via	VIA_SA_15037		{119.5250 845.9130} {120.4750 846.0230}	M1	M2
VDD	via	VIA_S_153135		{99.9450 845.8880} {100.0550 846.0480}	M1	M2
VDD	via	VIA_SA_15036		{79.5250 845.9130} {80.4750 846.0230}	M1	M2
VDD	via	VIA_S_153134		{59.9450 845.8880} {60.0550 846.0480}	M1	M2
VDD	via	VIA_SA_15035		{39.5250 845.9130} {40.4750 846.0230}	M1	M2
VDD	via	VIA_SA_15034		{839.5250 842.5690} {840.4750 842.6790}	M1	M2
VDD	via	VIA_S_153133		{819.9450 842.5440} {820.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15033		{799.5250 842.5690} {800.4750 842.6790}	M1	M2
VDD	via	VIA_S_153132		{779.9450 842.5440} {780.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15032		{759.5250 842.5690} {760.4750 842.6790}	M1	M2
VDD	via	VIA_S_153131		{739.9450 842.5440} {740.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15031		{719.5250 842.5690} {720.4750 842.6790}	M1	M2
VDD	via	VIA_S_153130		{699.9450 842.5440} {700.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15030		{679.5250 842.5690} {680.4750 842.6790}	M1	M2
VDD	via	VIA_S_153129		{659.9450 842.5440} {660.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15029		{639.5250 842.5690} {640.4750 842.6790}	M1	M2
VDD	via	VIA_S_153128		{619.9450 842.5440} {620.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15028		{599.5250 842.5690} {600.4750 842.6790}	M1	M2
VDD	via	VIA_S_153127		{579.9450 842.5440} {580.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15027		{559.5250 842.5690} {560.4750 842.6790}	M1	M2
VDD	via	VIA_S_153126		{539.9450 842.5440} {540.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15026		{519.5250 842.5690} {520.4750 842.6790}	M1	M2
VDD	via	VIA_S_153125		{499.9450 842.5440} {500.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15025		{479.5250 842.5690} {480.4750 842.6790}	M1	M2
VDD	via	VIA_S_153124		{459.9450 842.5440} {460.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15024		{439.5250 842.5690} {440.4750 842.6790}	M1	M2
VDD	via	VIA_S_153123		{419.9450 842.5440} {420.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15023		{399.5250 842.5690} {400.4750 842.6790}	M1	M2
VDD	via	VIA_S_153122		{379.9450 842.5440} {380.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15022		{359.5250 842.5690} {360.4750 842.6790}	M1	M2
VDD	via	VIA_S_153121		{339.9450 842.5440} {340.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15021		{319.5250 842.5690} {320.4750 842.6790}	M1	M2
VDD	via	VIA_S_153120		{299.9450 842.5440} {300.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15020		{279.5250 842.5690} {280.4750 842.6790}	M1	M2
VDD	via	VIA_S_153119		{259.9450 842.5440} {260.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15019		{239.5250 842.5690} {240.4750 842.6790}	M1	M2
VDD	via	VIA_S_153118		{219.9450 842.5440} {220.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15018		{199.5250 842.5690} {200.4750 842.6790}	M1	M2
VDD	via	VIA_S_153117		{179.9450 842.5440} {180.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15017		{159.5250 842.5690} {160.4750 842.6790}	M1	M2
VDD	via	VIA_S_153116		{139.9450 842.5440} {140.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15016		{119.5250 842.5690} {120.4750 842.6790}	M1	M2
VDD	via	VIA_S_153115		{99.9450 842.5440} {100.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15015		{79.5250 842.5690} {80.4750 842.6790}	M1	M2
VDD	via	VIA_S_153114		{59.9450 842.5440} {60.0550 842.7040}	M1	M2
VDD	via	VIA_SA_15014		{39.5250 842.5690} {40.4750 842.6790}	M1	M2
VDD	via	VIA_SA_15013		{839.5250 839.2250} {840.4750 839.3350}	M1	M2
VDD	via	VIA_S_153113		{819.9450 839.2000} {820.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15012		{799.5250 839.2250} {800.4750 839.3350}	M1	M2
VDD	via	VIA_S_153112		{779.9450 839.2000} {780.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15011		{759.5250 839.2250} {760.4750 839.3350}	M1	M2
VDD	via	VIA_S_153111		{739.9450 839.2000} {740.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15010		{719.5250 839.2250} {720.4750 839.3350}	M1	M2
VDD	via	VIA_S_153110		{699.9450 839.2000} {700.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15009		{679.5250 839.2250} {680.4750 839.3350}	M1	M2
VDD	via	VIA_S_153109		{659.9450 839.2000} {660.0550 839.3600}	M1	M2
VDD	via	VIA_SA_15008		{639.5250 839.2250} {640.4750 839.3350}	M1	M2
VDD	via	VIA_S_153108		{619.9450 839.2000} {620.0550 839.3600}	M1	M2
