inst	old_ref	target_ref	status
U77216	NOR4X1_HVT	NOR4X2_HVT	missing_target_ref
U13303	NBUFFX2_HVT	NBUFFX4_HVT	ok
ZBUF_1069_inst_8294	NBUFFX2_HVT	NBUFFX4_HVT	ok
ZBUF_259_inst_8705	NBUFFX2_HVT	NBUFFX4_HVT	ok
