idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
2	1	VIA_S_905386	VIA12SQ_C	M1	M2	392.7040 266.3920	{392.6490 266.3370} {392.7590 266.4470}	1 1	1	1	detail_route	ZBUF_2071_6
2	1	VIA_S_905385	VIA12SQ_C	M1	M2	392.2480 268.0640	{392.1930 268.0090} {392.3030 268.1190}	1 1	1	1	detail_route	ZBUF_2071_6
2	1	VIA_S_905382	VIA12SQ_C	M1	M2	390.2720 271.7120	{390.2170 271.6570} {390.3270 271.7670}	1 1	1	1	detail_route	ZBUF_2071_6
2	1	VIA_S_905380	VIA12SQ_C	M1	M2	384.0400 273.5360	{383.9850 273.4810} {384.0950 273.5910}	1 1	1	1	detail_route	ZBUF_2071_6
2	1	VIA_S_905374	VIA12SQ_C	M1	M2	381.1520 274.7520	{381.0970 274.6970} {381.2070 274.8070}	1 1	1	1	detail_route	ZBUF_2071_6
2	1	VIA_S_905370	VIA12SQ_C	M1	M2	378.8720 271.7120	{378.8170 271.6570} {378.9270 271.7670}	1 1	1	1	detail_route	ZBUF_2071_6
3	2	VIA_SA_15716	VIA12SQ	M1	M2	760.6690 291.9280	{760.6140 291.8220} {760.7240 292.0340}	2 1	2	1	detail_route	n47209
3	2	VIA_S_314380	VIA12SQ_C	M1	M2	762.9760 300.7440	{762.9210 300.6890} {763.0310 300.7990}	1 1	1	1	detail_route	n47209
3	2	VIA_S_314379	VIA12SQ_C	M1	M2	760.5440 295.1200	{760.4890 295.0650} {760.5990 295.1750}	1 1	1	1	detail_route	n47209
3	2	VIA_S_314372	VIA12SQ_C	M1	M2	750.2080 318.6800	{750.1530 318.6250} {750.2630 318.7350}	1 1	1	1	detail_route	n47209
3	2	VIA_S_314366	VIA12SQ_C	M1	M2	729.3840 286.9120	{729.3290 286.8570} {729.4390 286.9670}	1 1	1	1	detail_route	n47209
4	3	VIA_SA_15716	VIA12SQ	M1	M2	760.6690 291.9280	{760.6140 291.8220} {760.7240 292.0340}	2 1	2	1	detail_route	n47209
