target_ref	instances	resize_status	stage	total_drc	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	short
MUX41X1_HVT	U6629	ok	before	1	0	0	0	0	1	0
MUX41X1_HVT	U6629	ok	after	14	6	4	5	0	0	5
