label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
drc_object_9	1	n4111	net		{723.4010 520.6330} {727.4630 523.1560}						
near_cell_9	1	u_ibex_top_u_ibex_core_load_store_unit_i_addr_last_q_reg_2_	cell		{727.2930 519.8980} {731.7790 521.7010}		DFFARX1_HVT	saed32hvt_tt.modified_lef/DFFARX1_HVT			
near_cell_9	2	U3111	cell		{725.1650 523.2420} {726.3070 525.0450}		NAND2X0_HVT	saed32hvt_tt.modified_lef/NAND2X0_HVT			
near_cell_9	3	U3120	cell		{725.1650 521.4990} {726.1550 523.3020}		INVX1_HVT	saed32hvt_tt.modified_lef/INVX1_HVT			
near_cell_9	4	U20578	cell		{724.7090 519.8980} {727.5230 521.7010}		IBUFFX8_HVT	saed32hvt_tt.modified_lef/IBUFFX8_HVT			
near_cell_9	5	U7515	cell		{728.6610 521.4990} {730.7150 523.3020}		INVX8_HVT	saed32hvt_tt.modified_lef/INVX8_HVT			
near_cell_9	6	U5486	cell		{728.3570 523.2420} {729.6500 525.0450}		NAND3X0_HVT	saed32hvt_tt.modified_lef/NAND3X0_HVT			
near_cell_9	7	ZBUF_192_inst_1592	cell		{726.0770 523.2420} {727.5230 525.0450}		NBUFFX2_HVT	saed32hvt_tt.modified_lef/NBUFFX2_HVT			
near_pin_9	1	U44759/A1	pin	M1 CO	{727.0490 522.4570} {727.2210 522.6410}	n2966					
near_pin_9	2	U44759/VSS	pin	M1 CO	{726.8000 522.8850} {728.3200 523.3020}	VSS					
near_shape_9	1	PATH_15_34225	shape	M3	{725.8600 522.4840} {727.2840 522.5400}	n4111			detail_route		n4111
near_shape_9	2	PATH_15_86462	shape	M3	{722.8200 522.7880} {731.0840 522.8440}	n47697			detail_route		n47697
offgrid_error_10	0	10	drc_error		{716.8950 543.8430} {716.9450 544.0450}	NA	NA	NA	NA	NA	NA
drc_object_10	1	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]	net		{716.8010 542.3690} {722.7510 544.8820}						
near_cell_10	1	u_imem_mem_reg_500__31_	cell		{712.0930 543.3060} {716.2750 545.1090}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_10	2	u_imem_mem_reg_392__24_	cell		{712.3970 541.5630} {716.5790 543.3660}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_10	3	u_imem_mem_reg_392__31_	cell		{715.4370 544.9070} {719.6190 546.7100}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_10	4	U3054	cell		{718.1730 541.5630} {719.1630 543.3660}		INVX1_HVT	saed32hvt_tt.modified_lef/INVX1_HVT			
near_cell_10	5	U3072	cell		{717.7170 543.3060} {719.3150 545.1090}		OR3X1_HVT	saed32hvt_tt.modified_lef/OR3X1_HVT			
near_pin_10	1	U3055/A1	pin	M1 CO	{716.5610 543.9670} {716.7330 544.1510}	n2925					
near_pin_10	2	U3055/VSS	pin	M1 CO	{716.3120 543.3060} {717.8320 543.7230}	VSS					
near_shape_10	1	PATH_13_538118	shape	M2	{716.8920 543.9160} {716.9480 544.4280}	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]			detail_route		u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
