idx	name	type_name	layer_name	bbox	objects	description
1	90	Short		{781.5210 382.5970} {781.6710 382.7470}	_sel120	
2	91	Short		{781.5210 385.9410} {781.6710 386.0910}	_sel121	
3	93	Short		{781.5210 386.2450} {781.6710 386.3950}	_sel122	
4	97	Short		{781.5210 406.3090} {781.6710 406.4590}	_sel123	
5	454	Short		{735.9880 610.8900} {736.1560 611.0620}	_sel124	
6	566	Short		{242.6810 640.9970} {242.8310 641.1470}	_sel125	
