idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
6	5	VIA_S_832231	VIA12SQ_C	M1	M2	721.7840 323.2400	{721.7290 323.1850} {721.8390 323.2950}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832230	VIA12SQ_C	M1	M2	720.4160 324.9120	{720.3610 324.8570} {720.4710 324.9670}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832229	VIA12SQ_C	M1	M2	715.4000 318.3760	{715.3450 318.3210} {715.4550 318.4310}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832008	VIA12SQ_C	M1	M2	715.2480 317.0080	{715.1930 316.9530} {715.3030 317.0630}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832007	VIA12SQ_C	M1	M2	713.8800 317.0080	{713.8250 316.9530} {713.9350 317.0630}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_SA_15725	VIA12SQ_C	M1	M2	713.8800 318.6800	{713.8250 318.5490} {713.9350 318.8110}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832006	VIA12SQ_C	M1	M2	713.2720 317.0080	{713.2170 316.9530} {713.3270 317.0630}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_SA_15724	VIA12SQ_C	M1	M2	713.2720 315.3360	{713.2170 315.2050} {713.3270 315.4670}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832005	VIA12SQ_C	M1	M2	712.0560 316.7040	{712.0010 316.6490} {712.1110 316.7590}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832004	VIA12SQ_C	M1	M2	711.9040 318.5280	{711.8490 318.4730} {711.9590 318.5830}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832231	VIA12SQ_C	M1	M2	721.7840 323.2400	{721.7290 323.1850} {721.8390 323.2950}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832230	VIA12SQ_C	M1	M2	720.4160 324.9120	{720.3610 324.8570} {720.4710 324.9670}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832229	VIA12SQ_C	M1	M2	715.4000 318.3760	{715.3450 318.3210} {715.4550 318.4310}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832008	VIA12SQ_C	M1	M2	715.2480 317.0080	{715.1930 316.9530} {715.3030 317.0630}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832007	VIA12SQ_C	M1	M2	713.8800 317.0080	{713.8250 316.9530} {713.9350 317.0630}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_SA_15725	VIA12SQ_C	M1	M2	713.8800 318.6800	{713.8250 318.5490} {713.9350 318.8110}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832006	VIA12SQ_C	M1	M2	713.2720 317.0080	{713.2170 316.9530} {713.3270 317.0630}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_SA_15724	VIA12SQ_C	M1	M2	713.2720 315.3360	{713.2170 315.2050} {713.3270 315.4670}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832005	VIA12SQ_C	M1	M2	712.0560 316.7040	{712.0010 316.6490} {712.1110 316.7590}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
7	6	VIA_S_832004	VIA12SQ_C	M1	M2	711.9040 318.5280	{711.8490 318.4730} {711.9590 318.5830}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
8	7	VIA_SA_15706	VIA12SQ_C	M1	M2	780.3040 309.8640	{780.2490 309.7330} {780.3590 309.9950}	2 1	2	1	detail_route	n4111
8	7	VIA_SA_15705	VIA12SQ_C	M1	M2	778.4800 315.3360	{778.4250 315.2050} {778.5350 315.4670}	2 1	2	1	detail_route	n4111
