label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_shape_3	4	PATH_13_202288	shape	M2	{743.6440 307.7080} {743.7000 309.8920}	n46355			detail_route		n46355
near_shape_3	5	PATH_13_203158	shape	M2	{743.4920 300.7160} {743.5480 311.5640}	n46557			detail_route		n46557
offgrid_error_4	0	3	drc_error		{741.5190 306.4190} {741.5690 306.6210}	NA	NA	NA	NA	NA	NA
drc_object_4	1	n46411	net		{741.4250 304.3750} {742.8250 306.6510}						
near_cell_4	1	U80631	cell		{742.9490 304.1250} {744.6990 305.9420}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_cell_4	2	U80692	cell		{737.6290 304.1390} {741.2030 305.9420}		MUX41X1_HVT	saed32hvt_tt.modified_lef/MUX41X1_HVT			
near_cell_4	3	U80702	cell		{742.7970 305.8820} {746.3710 307.6850}		MUX41X1_HVT	saed32hvt_tt.modified_lef/MUX41X1_HVT			
near_cell_4	4	U80704	cell		{740.6690 307.4690} {742.4190 309.2860}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_cell_4	5	U80707	cell		{741.4290 304.1250} {743.1790 305.9420}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_pin_4	1	U80708/A1	pin	M1 CO	{741.1850 306.5430} {741.3570 306.7270}	n46412					
near_pin_4	2	U80708/VSS	pin	M1 CO	{740.9360 305.8820} {742.4560 306.2990}	VSS					
near_shape_4	1	PATH_21_1134	shape	M6	{741.6680 242.5000} {741.7240 318.5560}	n47388			detail_route		n47388
near_shape_4	2	PATH_15_84638	shape	M3	{735.2840 306.6440} {751.6040 306.7000}	n46443			detail_route		n46443
near_shape_4	3	PATH_13_202624	shape	M2	{741.5160 305.7320} {741.5720 306.5480}	n46411			detail_route		n46411
near_shape_4	4	PATH_13_276858	shape	M2	{741.6680 298.4360} {741.7240 309.1320}	n50734			detail_route		n50734
near_via_4	1	VIA_SA_15715	via		{741.1850 306.4650} {741.2950 306.7270}	n46412			detail_route	VIA12SQ_C	n46412
offgrid_error_5	0	4	drc_error		{780.2790 309.7630} {780.3290 309.9650}	NA	NA	NA	NA	NA	NA
drc_object_5	1	n4111	net		{774.0170 309.7330} {780.6630 315.4670}						
near_cell_5	1	U3082	cell		{780.0370 307.4830} {781.0270 309.2860}		INVX1_HVT	saed32hvt_tt.modified_lef/INVX1_HVT			
near_cell_5	2	U3083	cell		{780.7970 307.4690} {783.1550 309.2860}		AOI221X1_HVT	saed32hvt_tt.modified_lef/AOI221X1_HVT			
near_cell_5	3	U3113	cell		{780.6450 310.8270} {782.2430 312.6300}		OR2X1_HVT	saed32hvt_tt.modified_lef/OR2X1_HVT			
